Skew,Kurtosis,b,c,d,_RHS_
0.1,11.5,-1.58016,0.017718,0.309669,2.92E-25
0.1,11.6,-1.58022,0.017652,0.310066,6.20E-20
0.1,11.7,0.505447,0.008117,0.143543,1.83E-24
0.1,11.8,0.503116,0.008097,0.144138,2.64E-24
0.1,11.9,0.500797,0.008078,0.144728,3.78E-24
0.1,12,0.498488,0.008059,0.145316,3.43E-15
0.1,12.1,0.496189,0.00804,0.1459,5.34E-29
0.1,12.2,0.4939,0.008022,0.146481,6.01E-29
0.1,12.3,0.491622,0.008003,0.147059,4.85E-14
0.1,12.4,0.489353,0.007985,0.147634,4.37E-24
0.1,12.5,0.487095,0.007967,0.148205,3.04E-23
0.1,12.6,0.484846,0.007949,0.148774,7.69E-24
0.1,12.7,0.482606,0.007931,0.149339,1.83E-26
0.1,12.8,0.480376,0.007913,0.149902,5.72E-25
0.1,12.9,0.478156,0.007896,0.150461,2.34E-15
0.1,13,0.475944,0.007879,0.151018,2.70E-27
0.1,13.1,0.473742,0.007862,0.151572,2.76E-25
0.1,13.2,0.471549,0.007845,0.152123,1.55E-23
0.1,13.3,0.469364,0.007828,0.152671,7.30E-24
0.1,13.4,0.467189,0.007811,0.153216,9.83E-24
0.1,13.5,0.465022,0.007795,0.153759,1.32E-23
0.1,13.6,0.462863,0.007778,0.154299,1.75E-23
0.1,13.7,-1.58068,0.016404,0.317834,3.29E-16
0.1,13.8,-1.58067,0.01635,0.31818,4.30E-23
0.1,13.9,-1.58065,0.016297,0.318524,1.92E-22
0.1,14,-1.58063,0.016244,0.318867,1.98E-28
0.1,14.1,-1.58061,0.016191,0.319207,5.73E-22
0.1,14.2,0.450086,0.007683,0.157484,7.24E-23
0.1,14.3,0.447985,0.007668,0.158006,3.87E-22
0.1,14.4,0.445891,0.007652,0.158525,1.75E-21
0.1,14.5,0.443805,0.007637,0.159042,6.93E-21
0.1,14.6,0.441727,0.007622,0.159557,2.45E-20
0.1,14.7,0.439656,0.007607,0.16007,7.91E-20
0.1,14.8,0.437592,0.007593,0.16058,5.38E-19
0.1,14.9,0.435536,0.007578,0.161087,2.02E-18
0.1,15,0.433487,0.007563,0.161593,1.51E-24
0.1,15.1,0.431446,0.007549,0.162096,2.71E-24
0.1,15.2,0.429411,0.007535,0.162597,7.69E-28
0.1,15.3,0.427383,0.00752,0.163096,1.92E-15
0.1,15.4,-1.5801,0.015546,0.323465,1.48E-19
0.1,15.5,0.423349,0.007492,0.164087,2.23E-26
0.1,15.6,0.421342,0.007478,0.164579,1.07E-18
0.1,15.7,0.419342,0.007465,0.165069,5.65E-28
